WARD,Population
21009002,5851
21009003,5495
21009004,6325
21009005,6902
21009006,5434
21201001,7074
21201002,8396
21201003,6993
21201004,6979
21201005,9201
21201006,7901
21201007,6872
21201008,7960
21201009,11515
21201010,7969
21201011,7576
21201012,8105
21201013,7108
21201014,7417
21201015,11522
21201016,10372
21201017,8937
21201018,6449
21201019,12515
21201020,8988
21201021,6673
21201022,7788
21201023,8696
21201024,6948
21201025,7747
21201026,9336
21201027,6215
21201028,9375
21201029,6450
21201030,8487
21201031,7344
21202001,6164
21202002,7928
21202003,7606
21202004,8242
21202005,9581
21202006,6163
21202007,8812
21202008,7181
21202009,7960
21202010,6470
21202011,7916
21202012,7458
21202013,7156
21202014,7437
21202015,6120
21202016,7440
21202017,7976
21202018,8603
21202019,7522
21202020,7403
21202021,7737
21202022,9694
21202023,7495
21202024,10199
21202025,11611
21202026,10489
21202027,9460
21202028,8780
21202029,8893
21202030,7546
21202031,9348
21203001,6673
21203002,4336
21203003,5641
21203004,5960
21203005,5346
21203006,5715
21203007,5320
21204001,5481
21204002,7316
21204003,6012
21204004,6604
21204005,6922
21204006,7543
21204007,5595
21204008,6357
21204009,5126
21204010,5060
21204011,5133
21204012,7509
21204013,5074
21204014,7087
21204015,5667
21204016,7544
21204017,5135
21204018,5564
21204019,5647
21204020,6402
21206001,5555
21206002,5963
21206003,5830
21206004,5559
21206005,6065
21206006,5343
21206007,6051
21206008,5390
21206009,4897
21206010,5011
21206011,5964
21206012,4783
21206013,5777
21207001,4821
21207002,5803
21207003,5476
21207004,7460
21207005,5562
21207006,6143
21207007,6204
21207008,7097
21207009,8202
21207010,5880
21207011,4651
21207012,5605
21207013,6561
21207014,5962
21207015,7485
21207016,6784
21207017,4847
21207018,6327
21207019,5007
21207020,5355
21207021,5883
21208001,5366
21208002,4271
21208003,3386
21208004,11242
21301001,6929
21301002,5566
21301003,4917
21301004,6506
21301005,8750
21301006,12235
21301007,8402
21301008,6374
21301009,5881
21302001,7102
21302002,5642
21302003,7629
21302004,6059
21302005,6849
21303001,4541
21303002,5990
21303003,5847
21303004,5592
21304001,8906
21304002,6920
21304003,6699
21304004,5425
21304005,5977
21304006,7127
21304007,10464
21304008,6685
21304009,6908
21304010,4304
21304011,8211
21304012,5669
21304013,5494
21304014,6067
21304015,4822
21304016,6092
21304017,7035
21304018,12538
21304019,8835
21304020,6434
21304021,6101
21304022,7980
21304023,4675
21304024,5527
21304025,9429
21304026,9389
21304027,7010
21305001,7305
21305002,5712
21305003,6760
21305004,7750
21305005,8016
21305006,7246
21305007,6416
21305008,7438
21305009,5660
21305010,6149
21305011,5151
21305012,6414
21305013,7446
21305014,8783
21305015,7182
21305016,8439
21305017,7033
21305018,7414
21305019,5389
21305020,5984
21305021,7686
21306001,7031
21306002,5846
21306003,6900
21306004,6960
21306005,9648
21306006,7778
21306007,8311
21306008,7906
21306009,6754
21306010,5871
21306011,6915
21306012,6744
21306013,5818
21306014,7751
21306015,6901
21306016,6301
21306017,6024
21307001,6059
21307002,6670
21307003,5693
21307004,7279
21307005,6768
21307006,8093
21307007,7911
21307008,8618
21307009,7587
21307010,11471
21307011,5477
21307012,7668
21307013,7916
21307014,8073
21307015,9436
21307016,7819
21307017,8405
21307018,9067
21307019,8635
21307020,6868
21308001,8255
21308002,7172
21308003,8174
21308004,5752
21308005,8679
21308006,6173
21308007,6463
21308008,6636
21308009,6278
21401001,9459
21401002,9859
21401003,8131
21401004,6946
21401005,8447
21401006,5433
21401007,7598
21401008,6391
21401009,11223
21401010,8845
21401011,8649
21401012,7760
21401013,9557
21401014,6931
21401015,8632
21401016,7315
21401017,6966
21402001,6646
21402002,11856
21402003,5379
21402004,5026
21402005,5066
21402006,6638
21402007,7155
21402008,9953
21402009,6866
21402010,9053
21402011,7794
21402012,5621
21402013,6663
21402014,7115
21402015,6485
21402016,5778
21402017,6782
21402018,6037
21402019,8238
21403001,7435
21403002,9000
21403003,5695
21403004,7495
21403005,4936
21403006,9239
21404001,6184
21404002,4727
21404003,10149
21404004,5250
21404005,7368
21503001,6911
21503002,11334
21503003,8151
21503004,8651
21503005,10000
21503006,10459
21503007,10009
21503008,7320
21503009,9440
21503010,8251
21503011,9211
21503012,7630
21503013,9231
21503014,8716
21503015,6662
21503016,8123
21503017,7677
21503018,8194
21503019,11131
21503020,11271
21503021,11650
21503022,8849
21503023,6921
21503024,7864
21503025,8639
21503026,9206
21503027,6443
21503028,10533
21503029,9933
21503030,10786
21503031,9283
21504001,9332
21504002,8771
21504003,8790
21504004,7130
21504005,6899
21504006,5747
21504007,8173
21504008,6695
21504009,5907
21504010,8777
21504011,8678
21504012,9313
21504013,8260
21504014,6962
21504015,4018
21504016,6437
21504017,7348
21504018,8358
21504019,10625
21504020,9915
21505001,9967
21505002,8040
21505003,7489
21505004,7826
21505005,8633
21505006,10019
21505007,8045
21505008,7875
21505009,10426
21505010,10863
21505011,13246
21505012,10630
21505013,8490
21505014,8330
21505015,11882
21505016,8146
21505017,10266
21505018,8294
21505019,11095
21505020,11581
21505021,7405
21505022,10780
21505023,9405
21505024,7406
21505025,8559
21505026,11386
21505027,6598
21505028,8342
21505029,10212
21505030,10370
21505031,8786
21506001,7391
21506002,6687
21506003,7891
21506004,6999
21506005,6197
21506006,10579
21506007,5502
21506008,8398
21506009,5575
21506010,6341
21506011,7612
21506012,8360
21506013,8204
21506014,8164
21506015,9080
21506016,7440
21506017,8204
21506018,7139
21506019,6883
21506020,5747
21506021,6137
21506022,5930
21506023,7209
21506024,7700
21506025,7434
21506026,5423
21507001,10810
21507002,10223
21507003,12506
21507004,15895
21507005,8521
21507006,12196
21507007,2017
21507008,12304
21507009,12942
21507010,11198
21507011,23485
21507012,14209
21507013,9864
21507014,11717
21507015,11109
21507016,13335
21507017,11774
21507018,12297
21507019,13912
21507020,15030
21507021,14003
21507022,14369
21507023,15512
21507024,15889
21507025,19973
21507026,12511
21507027,12446
21507028,12022
21507029,13749
21507030,12756
21507031,12126
21507032,14161
21507033,12995
21507034,11725
21507035,12130
24401001,6434
24401002,13574
24401003,7811
24401004,8324
24401005,8474
24401006,7399
24401007,7611
24401008,9747
24401009,6605
24401010,8864
24401011,11421
24401012,6626
24401013,8241
24401014,6586
24401015,6715
24401016,6405
24401017,8509
24401018,7253
24401019,4124
24401020,11816
24401021,7142
24401022,6288
24401023,6344
24401024,5570
24401025,7067
24401026,8894
24402001,7683
24402002,5844
24402003,9196
24402004,7657
24402005,5691
24402006,6165
24402007,8037
24402008,6579
24402009,6008
24402010,7466
24402011,8256
24402012,6679
24402013,6266
24402014,7208
24402015,6579
24402016,8686
24402017,8223
24402018,6664
24402019,8189
24402020,7918
24402021,6536
24402022,7001
24402023,6732
24402024,7066
24402025,6346
24402026,7272
24402027,5672
24403001,7974
24403002,7705
24403003,7842
24403004,6871
24403005,8277
24403006,11818
24403007,8366
24403008,9059
24403009,12315
24403010,9673
24403011,8423
24403012,8465
24403013,8172
24403014,10190
24403015,9378
24403016,9065
24403017,11881
24403018,9420
24403019,10714
24403020,10286
24403021,6910
24403022,9044
24403023,12129
24403024,6853
24403025,11816
24403026,7673
24403027,9118
24403028,6923
24403029,8552
24403030,8837
24403031,8158
24404001,6227
24404002,7003
24404003,6280
24404004,5991
24404005,6127
24404006,6808
24404007,8237
24404008,7392
24404009,6920
24404010,5267
24404011,6426
24404012,6861
24404013,8882
24404014,6594
24404015,5237
24404016,8853
24404017,7188
24404018,7682
29200001,13084
29200002,11524
29200003,17953
29200004,12863
29200005,15062
29200006,14143
29200007,11688
29200008,10463
29200009,18544
29200010,19182
29200011,15537
29200012,15115
29200013,25944
29200014,9484
29200015,11911
29200016,27434
29200017,16574
29200018,11605
29200019,12460
29200020,11096
29200021,15556
29200022,15444
29200023,15436
29200024,14489
29200025,12916
29200026,16946
29200027,11274
29200028,16251
29200029,20569
29200030,12961
29200031,21062
29200032,14928
29200033,15945
29200034,13000
29200035,14110
29200036,15705
29200037,13770
29200038,15549
29200039,16302
29200040,12284
29200041,12548
29200042,14580
29200043,18664
29200044,21582
29200045,12808
29200046,19537
29200047,13737
29200048,11770
29200049,12680
29200050,11128
29300001,19145
29300002,21026
29300003,15385
29300004,25814
29300005,18225
29300006,13800
29300007,17756
29300008,20456
29300009,15866
29300010,18797
29300011,16558
29300012,26935
