WARD,Population
52603021,12607
52603022,12855
52605001,10598
52605002,10518
52605003,10886
52605004,12255
52605005,9448
52605006,7569
52605007,9943
52605008,8275
52605009,13121
52605010,8926
52605011,10021
52605012,10164
52605013,6546
52605014,11267
52605015,7521
52605016,15340
52605017,8454
52605018,10476
52605019,402
52605020,5808
52605021,7370
52606001,6422
52606002,9660
52606003,6682
52606004,7434
52606005,9084
52606006,6581
52606007,6749
52606008,9469
52606009,8174
52606010,6229
52606011,8784
52606012,6263
52606013,9300
52606014,9248
52606015,8975
52606016,9072
52606017,8694
52606018,9069
52606019,4532
52606020,8116
52606021,8455
52606022,7910
52606023,6641
52606024,6774
52701001,4709
52701002,7744
52701003,11400
52701004,12089
52701005,8888
52701006,13064
52701007,9796
52701008,8493
52701009,11841
52701010,7189
52701011,9587
52701012,7333
52701013,8918
52701014,8112
52701015,10400
52701016,7676
52701017,9496
52702001,7173
52702002,8144
52702003,9422
52702004,8292
52702005,13677
52702006,6939
52702007,9574
52702008,8504
52702009,9506
52702010,11085
52702011,8094
52702012,10401
52702013,10775
52702014,11634
52702015,8465
52702016,9494
52702017,10425
52702018,7939
52702019,8813
52702020,8148
52703001,10074
52703002,7339
52703003,6813
52703004,11033
52704001,6647
52704002,5087
52704003,12290
52704004,11269
52704005,7661
52704006,8349
52704007,8222
52704008,12399
52705001,5839
52705002,15302
52705003,15471
52705004,6506
52705005,3798
52705006,15005
52705007,8217
52705008,9808
52705009,7032
52705010,9579
52705011,8105
52705012,9074
52705013,5182
52705014,7094
52705015,7493
52705016,11898
52705017,8637
52705018,12439
52705019,8945
52801001,5292
52801002,5355
52801003,7628
52801004,10777
52801005,7880
52801006,7652
52801007,5841
52801008,10666
52801009,10371
52801010,7348
52801011,8348
52801012,8240
52801013,7264
52801014,10698
52801015,9529
52802001,12145
52802002,12254
52802003,9058
52802004,12472
52802005,15564
52802006,12544
52802007,5896
52802008,5137
52802009,13558
52802010,11310
52802011,9131
52802012,8574
52802013,14928
52802014,12315
52802015,12252
52802016,7801
52802017,10463
52802018,14887
52802019,12020
52802020,8552
52802021,6950
52802022,9181
52802023,10703
52802024,18331
52802025,13871
52802026,11523
52802027,8873
52802028,7440
52802029,15367
52802030,11359
52803001,7002
52803002,9520
52803003,10295
52803004,8063
52803005,10707
52803006,9455
52803007,9820
52803008,9474
52804001,7451
52804002,7936
52804003,7234
52804004,8912
52804005,9785
52804006,6930
52804007,7809
52804008,9207
52804009,8211
52804010,9346
52804011,8345
52804012,5638
52804013,9065
52804014,8711
52804015,9463
52804016,11850
52804017,6871
52804018,3928
52804019,7250
52804020,10688
52804021,6939
52804022,7150
52804023,9022
52804024,9438
52804025,6890
52804026,9529
52805001,8259
52805002,7117
52805003,8845
52805004,7722
52805005,9960
52805006,5914
52806001,10630
52806002,7144
52806003,7731
52806004,6370
52806005,8762
52806006,9079
52806007,8564
52806008,6853
52806009,7527
52806010,8671
52806011,6464
52806012,8878
52806013,9594
52806014,8147
52901001,8174
52901002,8503
52901003,8163
52901004,9852
52901005,7054
52901006,6859
52901007,9516
52901008,9357
52901009,9222
52901010,8216
52901011,7938
52901012,12957
52901013,3560
52901014,9774
52901015,4059
52901016,9185
52901017,5691
52902001,7446
52902002,9284
52902003,6129
52902004,8720
52902005,7867
52902006,7611
52902007,11158
52902008,7897
52902009,7471
52902010,10216
52902011,9198
52902012,11450
52902013,8528
52902014,8210
52902015,11716
52902016,9570
52902017,6808
52902018,8081
52902019,7962
52902020,3506
52902021,6992
52902022,11692
52902023,11159
52902024,11503
52902025,8210
52902026,6132
52902027,6673
52903001,6530
52903002,5570
52903003,9042
52903004,6417
52903005,6405
52903006,9029
52903007,5007
52903008,7449
52903009,5084
52903010,8310
52903011,7747
52903012,10870
52903013,8882
52903014,6612
52903015,6724
52903016,7786
52903017,7317
52903018,7077
52903019,8959
52904001,8499
52904002,9806
52904003,8375
52904004,10173
52904005,10586
52904006,7525
52904007,7977
52904008,9232
52904009,7933
52904010,9815
52904011,6803
54301001,10185
54301002,9505
54301003,9913
54301004,9347
54301005,8368
54301006,9543
54301007,7885
54301008,8957
54301009,10269
54301010,8758
54301011,7818
54302001,3224
54302002,4009
54302003,3107
54302004,2558
54303001,11441
54303002,7327
54303003,6775
54303004,11614
54303005,3437
54303006,9629
54303007,6937
54303008,8821
54304001,7693
54304002,5694
54304003,9136
54304004,11327
54304005,8683
54304006,7580
54304007,7303
54304008,11646
54304009,6753
54304010,8129
54304011,7742
54304012,10005
54305001,9601
54305002,9348
54305003,7445
54305004,8457
54305005,9577
54305006,10501
54305007,9110
54305008,9028
54305009,7450
54305010,10030
54305011,7177
54305012,9782
54305013,10814
54305014,10358
54305015,7497
54305016,8742
54305017,9188
54305018,8876
54305019,7718
54305020,9601
59500001,30819
59500002,30435
59500003,42406
59500004,37964
59500005,28601
59500006,27805
59500007,29650
59500008,35539
59500009,31923
59500010,22249
59500011,48704
59500012,27055
59500013,35708
59500014,26829
59500015,39344
59500016,36576
59500017,36731
59500018,28459
59500019,43521
59500020,23536
59500021,26981
59500022,25534
59500023,30590
59500024,33455
59500025,39024
59500026,34600
59500027,22973
59500028,23170
59500029,33831
59500030,37545
59500031,33111
59500032,22125
59500033,31928
59500034,37213
59500035,31085
59500036,31159
59500037,40778
59500038,38952
59500039,24614
59500040,30043
59500041,35332
59500042,38844
59500043,33212
59500044,41979
59500045,38693
59500046,29458
59500047,30924
59500048,30079
59500049,36168
59500050,28546
59500051,40217
59500052,35294
59500053,35857
59500054,31179
59500055,43056
59500056,42236
59500057,35633
59500058,37666
59500059,45343
59500060,37236
59500061,33270
59500062,30598
59500063,34023
59500064,35735
59500065,42805
59500066,30855
59500067,44875
59500068,39356
59500069,32592
59500070,29978
59500071,36394
59500072,39324
59500073,31454
59500074,22879
59500075,21669
59500076,19388
59500077,46048
59500078,28385
59500079,38984
59500080,30678
59500081,24682
59500082,29223
59500083,36251
59500084,39176
59500085,32111
59500086,34033
59500087,26620
59500088,35549
59500089,31762
59500090,26296
59500091,35257
59500092,27639
59500093,36025
59500094,29969
59500095,38546
59500096,34354
59500097,25072
59500098,46511
59500099,37572
59500100,32328
59500101,25460
59500102,41333
59500103,27782
63701001,7653
63701002,8051
63701003,8843
63701004,6598
63701005,5895
63701006,5302
63701007,6719
63701008,6123
63701009,4854
63701010,6005
63701011,7135
63701012,8677
63701013,11186
63701014,7397
63701015,4651
63701016,6608
63701017,4510
63701018,5552
63701019,6874
63701020,5694
63701021,5255
63701022,8315
63701023,6790
63701024,4734
63701025,6359
63701026,6996
63701027,4697
63701028,9473
63702001,9517
63702002,8612
63702003,10883
63702004,9436
63702005,12358
63702006,9319
63702007,9546
63702008,10631
63702009,14233
63702010,20149
63702011,12909
63702012,8919
63702013,7560
63702014,23006
63702015,8881
63702016,13275
63702017,13827
63702018,11278
63702019,11949
63702020,11629
63702021,13478
63702022,14539
63702023,5709
63702024,13815
63702025,36965
63702026,20376
63702027,16090
63702028,11785
63702029,21170
63702030,16890
63702031,8511
63702032,8658
63702033,14720
63702034,9907
63702035,15864
63702036,10989
63703001,15820
63703002,16792
63703003,10730
63703004,13767
63703005,9015
63703006,12750
63703007,17903
63703008,21899
63703009,8511
63703010,19055
63703011,17577
63703012,15015
63703013,7842
63703014,9480
63703015,12634
63703016,9524
63703017,20888
63703018,23502
63703019,24099
63703020,8716
63703021,18129
63703022,18521
63703023,12715
63703024,25472
63703025,10075
63703026,13973
63703027,14693
63703028,11699
63703029,17599
63703030,13531
63703031,11835
63703032,16666
63703033,6445
63703034,10692
63703035,10803
63703036,16932
63703037,21164
63703038,3112
63704001,8580
63704002,10078
63704003,4908
63704004,5252
63704005,11562
63704006,10668
63705001,6066
63705002,7531
63705003,6653
63705004,9997
63705005,10398
63705006,6946
63705007,7286
63705008,7138
63705009,8769
63705010,12048
63705011,6153
63705012,5595
63705013,7061
63705014,7668
63705015,7562
63705016,9938
63705017,9346
63705018,6715
63705019,7510
63705020,7230
63705021,8318
63705022,7230
63705023,7841
63705024,4255
63705025,7346
63705026,7583
63705027,8655
63705028,9579
63705029,9245
63705030,7363
63705031,7529
63801001,7383
63801002,6390
63801003,7234
63801004,8571
63801005,5530
63801006,5959
63801007,8014
63801008,11564
63801009,9025
63801010,3121
63801011,7166
63801012,7020
63801013,10514
63801014,9849
63802001,9841
63802002,7669
63802003,6460
63802004,7683
63802005,6827
63802006,8214
63802007,8454
63802008,4565
63802009,16581
63802010,10230
63802011,7667
63802012,11129
63802013,3482
63802014,6820
63802015,8595
63803001,10352
63803002,8054
63803003,8583
63803004,9183
63803005,3492
63803006,10793
63803007,15157
63803008,6913
63803009,11276
63803010,6667
63803011,5669
63803012,9580
63803013,14985
63803014,13264
63803015,8062
63803016,10625
63803017,7879
63803018,9654
63803019,5421
63803020,5803
63803021,8302
63803022,12504
63803023,8040
63803024,9011
63803025,8108
63803026,9473
63803027,10946
63803028,11360
63803029,11099
63803030,8842
63803031,12430
63804001,6694
63804002,6025
63804003,8140
63804004,9390
63804005,8393
63804006,6010
63804007,5002
63804008,7124
63804009,4765
63804010,8999
63804011,6433
63804012,6140
63804013,11532
63804014,11651
63804015,11255
63804016,10973
63804017,6879
63804018,5527
63804019,7336
63804020,8914
63804021,11719
63805001,4776
63805002,8768
63805003,5621
63805004,6924
63805005,6346
63805006,5078
63805007,7874
63805008,6472
63805009,5818
63805010,4867
63805011,10509
63805012,7807
63805013,10019
63805014,8192
63805015,6719
63805016,9267
63805017,7944
63805018,7318
63805019,13539
63805020,6853
63902001,9260
63902002,6825
63902003,8571
63902004,11364
63902005,8945
63902006,4750
63902007,7143
63902008,5105
63902009,4818
63903001,8328
63903002,4862
63903003,8167
63903004,6371
63903005,9763
63903006,7990
63903007,8363
63903008,6510
63904001,7641
63904002,9610
63904003,7263
63904004,5923
63904005,7421
63904006,8718
63904007,5694
63904008,6679
63904009,8165
63904010,6912
63904011,5612
63904012,7598
63904013,6057
63904014,6438
63904015,7190
63904016,5877
63904017,6895
63904018,7582
63904019,5743
63904020,7057
63904021,7293
63904022,5608
63904023,5306
63904024,6748
63904025,6801
63904026,5811
63906001,9540
63906002,4862
63906003,8766
63906004,5472
63906005,9024
63906006,6910
63906007,8675
63907001,8113
63907002,7333
63907003,11073
63907004,6901
63907005,4530
63907006,6341
63907007,7355
63907008,6970
63907009,4940
63907010,8109
63907011,6077
63907012,5776
63907013,7885
63907014,7591
63907015,6792
64001001,4553
64001002,4689
64001003,14594
64001004,9415
64001005,12598
64001006,10851
64002001,5884
64002002,14198
64002003,10874
64002004,9529
64002005,2839
64002006,4312
64002007,5530
64002008,4399
64002009,7592
64002010,4171
64002011,2666
64002012,5617
64002013,8921
64002014,4468
64002015,4577
64002016,4396
64002017,5522
64002018,6278
64002019,9430
64002020,6499
64002021,12749
64002022,2375
64002023,4341
64002024,1288
64002025,3449
64002026,10859
64003001,16566
64003002,15699
64003003,10151
64003004,19610
64003005,12409
64003006,12890
64003007,11478
64003008,9369
64003009,10010
64003010,6947
64003011,7695
64003012,15586
64003013,11263
64003014,10441
64003015,10730
64003016,9242
64003017,11535
64003018,12681
64003019,13612
64003020,6096
64003021,7959
64003022,19546
64003023,12969
64003024,10103
64003025,9339
64003026,8787
64003027,11621
64003028,10435
64003029,10075
64003030,9898
64003031,12981
64003032,9464
64003033,11209
64003034,7812
64003035,12467
64004001,5835
64004002,5688
64004003,5271
64004004,6277
64004005,6172
64004006,6363
64004007,3418
64004008,14931
64004009,5379
64004010,10600
64004011,7859
74201001,16215
74201002,16878
74201003,18334
74201004,14718
74201005,17323
74201006,25040
74201007,19082
74201008,13750
74201009,17990
74201010,21061
74201011,21380
74201012,11188
74201013,14780
74201014,11675
74201015,20579
74201016,15402
74201017,10385
74201018,15152
74201019,17460
74201020,17458
74201021,19787
74201022,17958
74201023,14715
74201024,11772
74201025,20695
74201026,26637
74201027,11329
74201028,25120
74201029,16211
74201030,12320
74201031,11707
74201032,11664
74201033,15878
74201034,11862
74201035,11322
74201036,22179
74201037,11804
74201038,15291
74201039,13555
74201040,12739
74201041,13298
74201042,8714
74201043,16786
74201044,18610
74201045,13861
74202001,7260
74202002,5059
74202003,5599
74202004,8094
74202005,10377
74202006,9405
74202007,6819
74202008,8557
74202009,896
74202010,8791
74202011,7170
74202012,3856
74202013,7334
74202014,6084
74203001,5795
74203002,8117
74203003,6912
74203004,6636
74203005,6890
74203006,6212
74203007,10186
74203008,10247
74203009,6417
74203010,7224
74203011,6489
74203012,9825
74203013,8569
74801001,13539
74801002,15864
74801003,13303
74801004,12858
74801005,7792
74801006,7845
74801007,9954
74801008,11226
74801009,6650
74801010,8544
74801011,13246
74801012,6524
74801013,10049
74801014,13382
74801015,7533
74801016,11591
74801017,8809
74801018,10231
74801019,6700
74801020,12204
74801021,9522
74801022,10279
74801023,11541
74801024,12809
74801025,6841
74801026,15901
74801027,13399
74801028,9624
74801029,7852
74801030,15943
74801031,10300
74801032,7479
74801033,8279
74801034,14811
74802001,10950
74802002,11794
74802003,6329
74802004,4275
74802005,4866
74802006,6698
74802007,7879
74802008,10027
74802009,9755
74802010,4090
74802011,3932
74802012,6403
74802013,7397
74802014,6843
74802015,6790
74802016,7600
74802017,4137
74802018,7243
74802019,4536
74802020,8809
74802021,4334
74802022,4599
74803001,7490
74803002,8890
74803003,2724
74803004,5028
74803005,5059
74803006,7791
74803007,8563
74803008,9788
74803009,6210
74803010,7740
74803011,4846
74803012,8082
74803013,6221
74803014,6981
74803015,6609
74803016,9746
74804001,11050
74804002,8118
74804003,6386
74804004,9138
74804005,2616
74804006,5784
74804007,7777
74804008,6078
74804009,6078
74804010,6580
74804011,6032
74804012,5800
74804013,7568
74804014,8023
74804015,4968
74804016,7529
74804017,5748
74804018,5744
74804019,3798
74804020,9722
74804021,13913
74804022,7160
74804023,6777
74804024,5269
74804025,7440
74804026,10734
74804027,5051
74804028,6637
79700001,54887
79700002,33105
79700003,26325
79700004,13119
79700005,27208
79700006,29557
79700007,25546
79700008,32571
79700009,24274
79700010,25729
79700011,30888
79700012,36772
79700013,29580
79700014,31046
79700015,29442
79700016,27285
79700017,36765
79700018,27441
79700019,26608
79700020,28918
79700021,43110
79700022,29238
79700023,28739
79700024,46046
79700025,44065
79700026,33025
79700027,23858
79700028,25854
79700029,18506
79700030,22602
79700031,34177
79700032,24277
79700033,40747
79700034,25978
79700035,28099
79700036,27056
79700037,30436
79700038,33677
79700039,34617
79700040,30488
79700041,42410
79700042,36028
79700043,26967
79700044,32104
79700045,30413
79700046,27605
79700047,30275
79700048,23139
79700049,25275
79700050,27412
79700051,30917
79700052,32880
79700053,35887
79700054,26043
79700055,29825
79700056,24148
79700057,34258
79700058,44343
79700059,32178
79700060,31405
79700061,38898
79700062,23846
79700063,35461
79700064,34476
79700065,39371
79700066,41953
79700067,34164
79700068,33503
79700069,21670
79700070,23277
79700071,42563
79700072,32289
79700073,32533
79700074,26839
79700075,33174
79700076,28631
79700077,32523
79700078,23804
79700079,32437
79700080,21911
79700081,44463
79700082,26936
79700083,25634
79700084,39715
79700085,30536
79700086,39263
79700087,30638
79700088,31456
79700089,51271
79700090,32457
79700091,33407
79700092,29853
79700093,23828
79700094,26646
79700095,29330
79700096,27209
79700097,34634
79700098,22029
79700099,47532
79700100,30875
79700101,42270
79800001,45504
79800002,41666
79800003,31570
79800004,41618
79800005,49754
79800006,38279
79800007,39143
79800008,40110
79800009,29971
79800010,33999
79800011,33274
79800012,27307
79800013,37665
79800014,31068
79800015,26784
79800016,26984
79800017,37758
79800018,38490
79800019,28671
79800020,31997
79800021,29260
79800022,31693
79800023,32188
79800024,33952
79800025,35598
79800026,25365
79800027,24888
79800028,28953
79800029,30347
79800030,34724
79800031,27688
79800032,41168
79800033,27909
79800034,28493
79800035,25170
79800036,24480
79800037,30072
79800038,21716
79800039,31783
79800040,25000
79800041,24895
79800042,23975
79800043,26141
79800044,54534
79800045,27811
79800046,28542
79800047,29408
79800048,32186
79800049,50852
79800050,23295
79800051,28409
79800052,29733
79800053,63288
79800054,42813
79800055,29947
79800056,31096
79800057,36671
79800058,31418
79800059,5544
79800060,45373
79800061,16972
79800062,21145
79800063,27082
79800064,34307
79800065,24035
79800066,45451
79800067,22168
79800068,33029
79800069,33713
79800070,31023
79800071,31473
79800072,18388
79800073,27963
79800074,25779
79800075,22718
79800076,18263
79800077,51700
79800078,48041
79800079,47612
79800080,28130
79800081,34433
79800082,35384
79800083,21349
79800084,33179
79800085,26007
79800086,34378
79800087,16704
79800088,24251
79800089,21756
79800090,22865
79800091,26086
79800092,47576
79800093,23857
79800094,20631
79800095,46239
79800096,58789
79800097,54080
79800098,30307
79800099,20119
79800100,54648
79800101,31014
79800102,32875
79800103,36407
79800104,29423
79800105,49253
79800106,34457
79800107,19400
79800108,32258
79800109,25067
79800110,56947
79800111,59086
79800112,57778
79800113,91717
79800114,48186
79800115,36955
79800116,20874
79800117,19568
79800118,30417
79800119,47181
79800120,38852
79800121,53340
79800122,52057
79800123,43191
79800124,43067
79800125,45671
79800126,28252
79800127,27606
79800128,53260
79800129,37317
79800130,23732
79900001,25350
79900002,20808
79900003,34115
79900004,37587
79900005,27437
79900006,17174
79900007,42846
79900008,29853
79900009,37478
79900010,39968
79900011,24239
79900012,21748
79900013,27147
79900014,27036
79900015,19511
79900016,21083
79900017,40771
79900018,24578
79900019,30473
79900020,27113
79900021,29868
79900022,33597
79900023,21469
79900024,47737
79900025,25610
79900026,25996
79900027,28319
79900028,17856
79900029,28669
79900030,37769
79900031,24334
79900032,30886
79900033,16993
79900034,22149
79900035,17841
79900036,22661
79900037,43637
79900038,9362
79900039,31159
79900040,62241
79900041,18416
79900042,20394
79900043,26157
79900044,18094
79900045,11122
79900046,20701
79900047,16408
79900048,35897
79900049,35425
79900050,20848
79900051,25676
79900052,21245
79900053,23877
79900054,20831
79900055,25822
79900056,19381
79900057,28132
79900058,33661
79900059,23728
79900060,32680
79900061,42757
79900062,20279
79900063,17063
79900064,35217
79900065,21397
79900066,23485
79900067,20642
79900068,29202
79900069,24630
79900070,31207
79900071,30799
79900072,22146
79900073,39616
79900074,24121
79900075,29389
79900076,23616
79900077,84536
79900078,23186
79900079,28903
79900080,26803
79900081,12339
79900082,20017
79900083,12097
79900084,26467
79900085,34627
79900086,43585
79900087,24867
79900088,27849
79900089,28126
79900090,42821
79900091,40480
79900092,30438
79900093,17785
79900094,20613
79900095,24310
79900096,30384
79900097,21060
79900098,25495
79900099,33412
79900100,32621
79900101,30369
79900102,31709
79900103,25844
79900104,26095
79900105,26119
83001001,8689
83001002,7623
83001003,8005
83001004,8138
83001005,6298
83001006,7831
83001007,2401
83001008,3809
83001009,12811
83001010,6708
83001011,7384
83001012,7239
83001013,4847
83001014,9176
83001015,11371
83001016,9342
83001017,3868
83001018,10020
83001019,6492
83001020,5247
83001021,9917
83001022,1802
83001023,9406
83001024,10755
83001025,6832
83002001,6100
83002002,8893
83002003,9349
83002004,5040
83002005,3430
83002006,5304
83002007,5612
83002008,13597
83002009,9790
83002010,8483
83002011,7287
83002012,3275
83002013,8954
83002014,6371
83002015,10102
83002016,15721
83002017,7154
83002018,6456
83002019,8461
83003001,10133
83003002,16446
83003003,13005
83003004,5863
83003005,12188
83003006,8277
83003007,6082
83003008,9095
83003009,14029
83003010,6751
83003011,12321
83003012,6383
83003013,7451
83003014,9396
83003015,8453
83003016,5700
83003017,6884
83003018,3405
83003019,10119
83004001,7554
83004002,3412
83004003,7867
83004004,6763
83004005,6852
83004006,9070
83004007,6947
83004008,7862
83004009,5457
83004010,12612
83004011,8838
83005001,6194
83005002,4285
83005003,7703
83005004,5847
83005005,7974
83005006,5120
83005007,6190
83005008,9427
83005009,7163
83005010,5684
83005011,13125
83005012,10062
83005013,6759
83005014,7646
83005015,12482
83006001,7638
83006002,7415
83006003,5105
83006004,8179
83006005,6988
83006006,7065
83007001,13335
83007002,10117
83007003,9234
83007004,6427
83007005,9218
83007006,4968
83007007,6920
83007008,6896
83007009,6388
83007010,10415
83007011,8094
83007012,10720
83007013,7133
83007014,4863
83007015,12960
83007016,13373
83007017,5373
83007018,10823
83007019,18147
83007020,12083
83007021,7991
83007022,10496
83007023,5431
83007024,7739
83007025,11127
83007026,11588
83007027,5505
83007028,13185
83007029,5011
83007030,9777
83007031,11058
83007032,8143
83101001,6606
83101002,5251
83101003,14033
83101004,6022
83101005,7469
83101006,6644
83101007,11322
83101008,6080
83101009,12024
83102001,15603
83102002,9349
83102003,4172
83102004,10113
83102005,10364
83102006,14456
83102007,8287
83102008,12955
83102009,10546
83102010,7434
83102011,7318
83102012,15255
83102013,6295
83102014,12919
83102015,16744
83102016,8364
83102017,10256
83102018,12583
83102019,12152
83102020,10241
83102021,19204
83102022,5522
83102023,12484
83102024,10765
83102025,14938
83102026,9186
83102027,8924
83102028,15656
83102029,19777
83102030,10849
83102031,10495
83102032,11569
83102033,14241
83102034,16449
83103001,4042
83103002,12573
83103003,7801
83103004,5008
83103005,3950
83103006,6800
83103007,5823
83103008,10874
83103009,6629
83103010,15984
83103011,11625
83103012,15430
83103013,6079
83103014,6763
83103015,8417
83103016,7804
83103017,6979
83103018,4621
83103019,5558
83103020,4491
83103021,6150
83103022,3472
83103023,12584
83103024,2019
83103025,13317
83103026,2239
83103027,6349
83103028,19844
83103029,6609
83104001,5852
83104002,5116
83104003,6539
83104004,6050
83104005,4434
83104006,7514
83104007,6087
83104008,5624
83105001,10277
83105002,11208
83105003,7870
83105004,15767
83105005,7069
83105006,10908
83105007,9690
83105008,12218
83105009,9996
83105010,7587
83105011,11534
83105012,6624
83105013,7824
83105014,14069
83105015,9904
83105016,9483
83105017,8711
83105018,9989
83105019,11391
83105020,14241
83105021,9446
83105022,10830
83105023,9007
83105024,10135
83105025,8237
83105026,7738
83105027,8457
83105028,7230
83105029,5930
83105030,11214
83105031,9365
83105032,6510
83106001,8076
83106002,9162
83106003,7260
83106004,8087
83106005,8237
83106006,9676
83106007,7250
83106008,7380
83106009,5446
83106010,7810
83106011,8477
83106012,9208
83106013,7708
83106014,7426
83106015,9157
83106016,4716
83106017,10629
83106018,7830
83106019,9686
83106020,6783
83106021,8954
83106022,9544
83106023,5283
83106024,10203
83106025,7496
83106026,8913
83106027,7994
83106028,6564
83106029,7956
83106030,8299
83106031,8495
83201001,3256
83201002,8216
83201003,9919
83201004,7820
83201005,10093
83201006,5192
83201007,9436
83201008,7366
83201009,8526
83201010,5374
83201011,5637
83201012,4482
83201013,2585
83201014,10485
83202001,22151
83202002,22069
83202003,16142
83202004,9667
83202005,16913
83202006,15428
83202007,13302
83202008,16404
83202009,14331
83202010,14213
83202011,15627
83202012,13251
83202013,11235
83202014,18642
83202015,15402
83202016,11479
83202017,15428
83202018,14496
83202019,14557
83202020,13448
83202021,16800
83202022,13822
83202023,10399
83202024,12168
83202025,14945
83202026,17509
83202027,18418
83202028,15725
83202029,16044
83202030,11688
83202031,11096
83202032,17981
83202033,12992
83202034,12337
83202035,15110
83202036,12910
83202037,14396
83202038,25254
83202039,15014
83203001,5040
83203002,8140
83203003,13175
83203004,8455
83203005,5679
83203006,6783
83203007,3392
83203008,9506
83203009,6987
83204001,14316
83204002,21722
83204003,16800
83204004,8931
83204005,12914
83204006,15325
83204007,17540
83204008,13903
83204009,13676
83204010,13175
83204011,12909
83204012,10600
83204013,9988
83204014,10732
83204015,12598
83204016,9866
83204017,7368
83204018,10153
83204019,8834
83204020,15594
83204021,15223
83204022,11826
83204023,7811
83204024,11885
83204025,8564
83204026,6371
83204027,11486
83204028,6163
83204029,10647
83204030,15153
83204031,7740
83204032,10111
83204033,13106
83205001,20778
83205002,11153
83205003,15711
83205004,11078
83205005,10681
83205006,18156
83205007,15041
83205008,13043
83205009,18432
83205010,14858
83205011,14086
83205012,12759
83205013,11876
83205014,12827
83205015,15354
83205016,11436
83205017,14998
83205018,19311
83205019,16714
83205020,12155
83205021,14238
83205022,13226
83205023,14994
83205024,15511
83205025,16528
83205026,13122
83205027,14499
83205028,9908
83205029,11780
83205030,15512
83205031,20404
83205032,13154
83205033,17618
83205034,18912
83205035,15954
83205036,13587
83205037,11852
93301001,7292
93301002,5354
93301003,8637
93301004,8273
93301005,8728
93301006,7936
93301007,11757
93301008,7570
93301009,6086
93301010,7514
93301011,7638
93301012,12530
93301013,11732
93301014,10222
93301015,6537
93301016,6061
93301017,6623
93301018,7730
93301019,9524
93301020,7312
93301021,8388
93301022,6753
93301023,6818
93301024,8439
93301025,11694
93301026,7797
93301027,6702
93301028,8577
93301029,8191
93301030,5805
93302001,7465
93302002,5050
93302003,5633
93302004,8528
93302005,6969
93302006,7888
93302007,6474
93302008,7362
93302009,8287
93302010,8808
93302011,7813
93302012,6822
93302013,7920
93302014,7648
93302015,7777
93302016,7449
93302017,7504
93302018,7604
93302019,7643
93302020,7738
93302021,7802
93302022,8731
93302023,7449
93302024,4498
93302025,7052
93302026,7020
93302027,5438
93302028,4687
93302029,11640
93303001,11459
93303002,10455
93303003,11335
93303004,11364
93303005,13526
93303006,10253
93303007,10781
93303008,9062
93303009,17930
93303010,6246
93303011,7719
93303012,11228
93303013,13239
93303014,13831
93303015,6053
93303016,17609
93303017,12936
93303018,12765
93303019,8319
93303020,12050
93303021,14356
93303022,9123
93303023,9174
93303024,10368
93303025,11573
93303026,9441
93303027,11563
93303028,11253
93303029,15588
93303030,7124
93303031,12080
93303032,12163
93303033,16046
93303034,12079
93304001,12635
93304002,6608
93304003,6437
93304004,7019
93304005,6272
93304006,6515
93304007,6002
93304008,7874
93304009,7002
93304010,7830
93304011,5700
93304012,8276
93304013,8769
93304014,3173
93304015,8975
93304016,13052
93304017,16174
93304018,12326
93305001,5622
93305002,8255
93305003,6861
93305004,6298
93305005,5927
93305006,7235
93305007,6184
93305008,7669
93305009,6366
93305010,6648
93305011,8792
93305012,8259
93305013,6083
93305014,4659
93401001,13365
93401002,16747
93401003,12760
93401004,5097
93401005,10461
93401006,9928
93402001,6535
93402002,6994
93402003,7380
93402004,6442
93402005,9217
93402006,6206
93402007,6405
93402008,5359
93402009,8133
93402010,6064
93402011,8430
93402012,8311
93402013,6396
93403001,17417
93403002,11933
93403003,14672
93403004,15212
93403005,16744
93403006,15414
93403007,18247
93403008,14063
93403009,14099
93403010,14413
93403011,17023
93403012,14465
93403013,17665
93403014,15102
93403015,17898
93403016,12625
93403017,12757
93403018,16212
93403019,16062
93403020,17074
93403021,19237
93403022,16386
93403023,16551
93403024,18714
93403025,15326
93403026,14539
93403027,17107
93403028,13437
93403029,16855
93403030,12995
93403031,12876
93403032,14492
93403033,16988
93403034,15064
93403035,17693
93403036,16665
93403037,14326
93403038,14672
93403039,13380
93403040,12064
93404001,11994
93404002,11567
93404003,14482
93404004,17494
93404005,12543
93404006,12226
93404007,11920
93404008,13421
93404009,12925
93404010,9703
93404011,10716
93404012,10391
93404013,13955
93404014,13659
93404015,17665
93404016,13818
93404017,12921
93404018,11456
93404019,12021
93404020,20508
93404021,21038
93404022,14913
93404023,11400
93404024,16791
93404025,15052
93404026,14431
93404027,10477
93404028,15854
93404029,11649
93404030,11315
93404031,12730
93404032,14847
93404033,14274
93404034,14076
93404035,13643
93404036,15788
93404037,11001
93404038,11367
93501001,5988
93501002,7521
93501003,7116
93501004,6254
93501005,7154
93501006,6999
93501007,8539
93501008,5318
93501009,9533
93501010,8918
93501011,7636
93501012,7497
93501013,6305
93501014,7437
93501015,6874
93501016,6477
93501017,7335
93501018,8848
93501019,15188
93501020,6785
93501021,8908
93502001,5843
93502002,6843
93502003,7567
93502004,6632
93502005,6482
93502006,5963
93502007,8458
93502008,7063
93502009,7237
93502010,7170
93502011,6478
93502012,5940
93502013,6324
93502014,7511
93502015,7258
93502016,7758
93502017,6373
